# The live-safety bands, MEASURED on the bank, red cards out; written by
# scripts/livebands.py every two days (the bank-refresh workflow) and read
# by scripts/webapp.py and scripts/bankrates.py for the live tag. The tag
# reads the league's own row where it has 50 cards or more (source
# 'league'), else the whole bank's row (league '*', source 'global'), else
# the seed. A league row under the floor is written as 'thin' and not read.
# Thresholds: safe >= 79, cautious >= 77, else unsafe.
# written	2026-09-12
# The 'flip' rows: priced plays with that tag that also print that lane,
# paired on the board's last 21 days — n cards where tip 1 graded and
# that lane won or lost (a push on the lane is no bet), hit = THAT lane,
# said = tip 1 on the same cards; flipped when the lane beats tip 1 by 5.
# league	lane	band	n	hit	said	label	source
BRA-SA	athena	−4 down	276	88.8	82.8	safe	league
BRA-SA	athena	+1 up	321	76.6	80.0	unsafe	league
BRA-SA	athena	−1..+1	60	83.3	77.5	safe	league
BRA-SA	athena	−4 down	276	88.8	82.8	safe	league
BRA-SA	athena	+1 up	321	76.6	80.0	unsafe	league
BRA-SA	athena	−1..+1	60	83.3	77.5	safe	league
BRA-SA	athena	−4 down	276	88.8	82.8	safe	league
BRA-SB	athena	+1 up	188	83.0	85.0	safe	league
BRA-SB	athena	−1..+1	564	88.1	87.2	safe	league
BRA-SB	athena	−4..−1	4	75.0	86.9	safe	thin
BRA-SB	athena	+1 up	188	83.0	85.0	safe	league
BRA-SB	athena	−1..+1	564	88.1	87.2	safe	league
BRA-SB	athena	−4..−1	4	75.0	86.9	safe	thin
BRA-SB	athena	+1 up	188	83.0	85.0	safe	league
BRA-SB	athena	−1..+1	564	88.1	87.2	safe	league
BRA-SB	athena	−4..−1	4	75.0	86.9	safe	thin
CHI-PD	athena	+1 up	57	93.0	85.8	safe	league
CHI-PD	athena	−1..+1	295	86.4	86.7	safe	league
CHI-PD	athena	−4..−1	73	80.8	84.8	safe	league
CHI-PD	athena	+1 up	57	93.0	85.8	safe	league
CHI-PD	athena	−1..+1	295	86.4	86.7	safe	league
CHI-PD	athena	−4..−1	73	80.8	84.8	safe	league
CHI-PD	athena	+1 up	57	93.0	85.8	safe	league
CHI-PD	athena	−1..+1	295	86.4	86.7	safe	league
CHI-PD	athena	−4..−1	73	80.8	84.8	safe	league
CHN-SL	athena	+1 up	334	83.5	83.2	safe	league
CHN-SL	athena	−1..+1	108	78.7	81.9	cautious	league
CHN-SL	athena	+1 up	334	83.5	83.2	safe	league
CHN-SL	athena	−1..+1	108	78.7	81.9	cautious	league
COL-PA	athena	−1..+1	389	77.1	81.1	cautious	league
COL-PA	athena	−4 down	396	91.4	85.9	safe	league
COL-PA	athena	−1..+1	389	77.1	81.1	cautious	league
COL-PA	athena	−4 down	396	91.4	85.9	safe	league
CRO-1L	athena	+1 up	2	50.0	81.2	safe	thin
CRO-1L	athena	−1..+1	123	89.4	86.1	safe	league
CRO-1L	athena	−4..−1	136	89.0	86.4	safe	league
CRO-1L	athena	−4 down	16	87.5	82.8	safe	thin
CRO-1L	athena	+1 up	2	50.0	81.2	safe	thin
CRO-1L	athena	−1..+1	123	89.4	86.1	safe	league
CRO-1L	athena	−4..−1	136	89.0	86.4	safe	league
CRO-1L	athena	−4 down	16	87.5	82.8	safe	thin
CRO-1L	athena	+1 up	2	50.0	81.2	safe	thin
CRO-1L	athena	−1..+1	123	89.4	86.1	safe	league
CRO-1L	athena	−4..−1	136	89.0	86.4	safe	league
CRO-1L	athena	−4 down	16	87.5	82.8	safe	thin
CRO-1L	athena	+1 up	2	50.0	81.2	safe	thin
CRO-1L	athena	−1..+1	123	89.4	86.1	safe	league
CRO-1L	athena	−4..−1	136	89.0	86.4	safe	league
CRO-1L	athena	−4 down	16	87.5	82.8	safe	thin
CZE-FL	athena	+1 up	267	85.0	85.5	safe	league
CZE-FL	athena	−1..+1	167	84.4	85.9	safe	league
CZE-FL	athena	−4..−1	87	82.8	83.3	safe	league
CZE-FL	athena	−4 down	20	95.0	81.7	safe	thin
CZE-FL	athena	+1 up	267	85.0	85.5	safe	league
CZE-FL	athena	−1..+1	167	84.4	85.9	safe	league
CZE-FL	athena	−4..−1	87	82.8	83.3	safe	league
CZE-FL	athena	−4 down	20	95.0	81.7	safe	thin
CZE-FL	athena	+1 up	267	85.0	85.5	safe	league
CZE-FL	athena	−1..+1	167	84.4	85.9	safe	league
CZE-FL	athena	−4..−1	87	82.8	83.3	safe	league
CZE-FL	athena	−4 down	20	95.0	81.7	safe	thin
CZE-FL	athena	+1 up	267	85.0	85.5	safe	league
CZE-FL	athena	−1..+1	167	84.4	85.9	safe	league
CZE-FL	athena	−4..−1	87	82.8	83.3	safe	league
CZE-FL	athena	−4 down	20	95.0	81.7	safe	thin
DEN-SL	athena	+1 up	438	82.2	83.6	safe	league
DEN-SL	athena	−1..+1	79	89.9	81.5	safe	league
DEN-SL	athena	+1 up	438	82.2	83.6	safe	league
DEN-SL	athena	−1..+1	79	89.9	81.5	safe	league
EGY-PL	athena	+1 up	217	83.9	82.6	safe	league
EGY-PL	athena	−1..+1	27	70.4	79.2	safe	thin
